"Your data is collected by us for the sole purpose of providing you with a quality service as expected when you create an account on our site.","Vos données sont collectées par nous aux seules fins de vous fournir un service de qualité tel qu'attendu dans le cadre de la création d'un compte sur notre site."
"Be the first to know about our exclusivities by SMS message","Soyez les premiers informés de nos exclusivités par SMS"
"Please enter the phone number","Veuillez entrer votre numéro de téléphone"
