"Your data is collected by us for the sole purpose of providing you with a quality service as expected when you create an account on our site.","Your data is collected by us for the sole purpose of providing you with a quality service as expected when you create an account on our site."
"Be the first to know about our exclusivities by SMS message","Be the first to know about our exclusivities by SMS message"
"Please enter the phone number","Please enter the phone number"
